arm,session,round,username_1,username_2,task_1,task_2,design_1,design_2,strategy_1,strategy_2,collabBelief_1,collabBelief_2,usedRobot_1,usedRobot_2,score_1,score_2
treatment,06,12,user0057,user0058,11,29,L,M,C,C,97,100,false,false,122,100
treatment,06,13,user0057,user0058,17,28,K,K,C,C,98,100,false,false,114,106
treatment,06,14,user0057,user0058,13,0,L,K,C,C,100,100,false,false,106,130
treatment,06,15,user0057,user0058,25,3,K,M,C,C,98,100,false,false,130,106
treatment,06,16,user0057,user0058,7,27,K,L,C,C,98,100,false,false,114,114
treatment,06,17,user0057,user0058,19,5,M,L,C,C,100,100,false,false,100,130
treatment,06,18,user0057,user0058,5,19,L,M,C,C,100,100,false,false,130,100
treatment,06,19,user0057,user0058,23,16,L,L,C,C,100,100,false,false,106,122
treatment,06,20,user0057,user0058,24,10,L,K,C,C,100,100,false,false,100,130
treatment,06,21,user0057,user0058,10,24,K,L,C,C,100,100,false,false,130,100
treatment,06,22,user0057,user0058,29,11,M,L,C,C,100,100,false,false,100,122
treatment,06,23,user0057,user0058,1,6,M,M,C,C,100,100,false,false,122,122
treatment,06,24,user0057,user0058,27,7,L,K,C,C,100,100,false,false,114,114
treatment,06,25,user0057,user0058,16,23,L,L,C,C,100,100,false,false,122,106
treatment,06,26,user0057,user0058,2,20,L,K,C,C,100,100,false,false,114,130
treatment,06,27,user0057,user0058,26,22,M,M,C,C,100,100,false,false,122,114
treatment,06,28,user0057,user0058,28,17,K,K,C,C,100,100,false,false,106,114
treatment,06,29,user0057,user0058,21,9,K,L,C,C,100,100,false,false,122,100
treatment,06,30,user0057,user0058,6,1,M,M,C,C,100,100,false,false,122,122
treatment,07,1,user0059,user0060,6,1,M,M,C,C,96,78,false,false,122,122
treatment,07,2,user0059,user0060,0,13,L,L,C,C,90,80,false,false,105,106
treatment,07,3,user0059,user0060,20,2,L,L,C,C,92,82,false,false,105,114
treatment,07,4,user0059,user0060,15,4,K,K,C,C,85,100,false,false,105,100
treatment,07,5,user0059,user0060,3,25,M,M,C,C,84,83,false,false,106,115
treatment,07,6,user0059,user0060,12,8,M,M,C,C,95,85,false,false,114,106
treatment,07,7,user0059,user0060,9,21,L,L,C,C,98,98,false,true,100,107
treatment,07,8,user0059,user0060,18,14,K,K,C,C,98,87,false,false,106,100
treatment,07,9,user0059,user0060,22,26,M,M,C,C,93,86,false,false,114,122
treatment,07,10,user0059,user0060,8,12,M,M,C,C,91,86,false,false,106,114
treatment,07,11,user0059,user0060,4,15,M,M,C,C,98,87,false,false,72,130
treatment,07,12,user0059,user0060,14,18,K,K,C,C,95,78,false,false,100,106
treatment,07,13,user0059,user0060,11,29,L,L,C,C,95,88,false,false,122,88
treatment,07,14,user0059,user0060,17,28,K,K,C,C,100,82,false,false,114,106
treatment,07,15,user0059,user0060,13,0,K,K,C,C,98,94,false,false,82,130
treatment,07,16,user0059,user0060,25,3,K,K,C,C,90,84,false,false,130,95
treatment,07,17,user0059,user0060,7,27,L,L,C,C,98,84,false,false,88,114
treatment,07,18,user0059,user0060,19,5,M,M,C,C,95,84,false,false,100,105
treatment,07,19,user0059,user0060,5,19,M,M,C,C,97,82,false,false,105,100
treatment,07,20,user0059,user0060,23,16,L,L,C,C,97,89,false,false,106,122
treatment,07,21,user0059,user0060,24,10,K,K,C,C,97,85,false,false,72,130
treatment,07,22,user0059,user0060,10,24,K,K,C,C,97,83,false,false,130,72
treatment,07,23,user0059,user0060,29,11,L,L,C,C,96,88,false,false,88,122
treatment,07,24,user0059,user0060,1,6,M,M,C,C,93,75,false,false,122,122
treatment,07,25,user0059,user0060,27,7,L,L,C,C,94,88,false,false,114,88
treatment,07,26,user0059,user0060,16,23,L,L,C,C,97,91,false,false,122,106
treatment,07,27,user0059,user0060,2,20,K,K,C,C,94,81,false,false,88,130
treatment,07,28,user0059,user0060,26,22,M,M,C,C,97,88,false,false,122,114
treatment,07,29,user0059,user0060,28,17,K,K,C,C,98,83,false,false,106,114
treatment,07,30,user0059,user0060,21,9,L,L,C,C,96,86,false,false,107,100
treatment,07,1,user0061,user0062,0,13,K,L,C,C,96,81,true,false,130,106
treatment,07,2,user0061,user0062,20,2,L,L,C,C,98,64,false,false,105,114
treatment,07,3,user0061,user0062,15,4,K,K,C,C,99,86,true,false,105,100
treatment,07,4,user0061,user0062,3,25,L,Y,C,I,99,97,true,false,11,50
treatment,07,5,user0061,user0062,12,8,K,M,C,C,100,68,true,false,88,106
treatment,07,6,user0061,user0062,9,21,L,K,C,C,100,83,true,false,100,122
treatment,07,7,user0061,user0062,18,14,Y,K,I,C,100,55,true,false,50,-68
treatment,07,8,user0061,user0062,22,26,M,Y,C,I,100,87,true,false,-210,50
treatment,07,9,user0061,user0062,8,12,L,M,C,C,99,61,true,false,82,114
treatment,07,10,user0061,user0062,4,15,K,M,C,C,99,61,false,false,100,130
treatment,07,11,user0061,user0062,14,18,Y,K,I,C,98,55,true,false,50,-118
treatment,07,12,user0061,user0062,11,29,K,M,C,C,99,61,true,false,107,100
treatment,07,13,user0061,user0062,17,28,L,K,C,C,99,52,false,false,100,106
treatment,07,14,user0061,user0062,13,0,L,K,C,C,100,97,false,false,106,130
treatment,07,15,user0061,user0062,25,3,L,M,C,C,100,87,true,false,105,106
treatment,07,16,user0061,user0062,7,27,M,L,C,C,99,63,false,false,100,114
treatment,07,17,user0061,user0062,19,5,K,L,C,C,98,93,true,false,72,130
treatment,07,18,user0061,user0062,5,19,K,M,C,C,100,74,true,false,115,100
treatment,07,19,user0061,user0062,23,16,M,L,C,C,100,70,false,false,82,122
treatment,07,20,user0061,user0062,24,10,K,K,C,C,99,96,false,false,72,130
treatment,07,21,user0061,user0062,10,24,L,L,C,C,100,87,true,false,105,100
treatment,07,22,user0061,user0062,29,11,K,L,C,C,100,68,false,false,72,122
treatment,07,23,user0061,user0062,1,6,M,M,C,C,98,60,false,false,122,122
treatment,07,24,user0061,user0062,27,7,M,K,C,C,99,92,true,false,88,114
treatment,07,25,user0061,user0062,16,23,M,L,C,C,100,60,true,false,96,106
treatment,07,26,user0061,user0062,2,20,L,K,C,C,100,53,false,false,114,130
treatment,07,27,user0061,user0062,26,22,Y,M,I,C,99,53,true,false,50,-210
treatment,07,28,user0061,user0062,28,17,Y,K,I,C,100,52,true,false,50,-142
treatment,07,29,user0061,user0062,21,9,M,L,C,C,96,97,true,false,96,100
treatment,07,30,user0061,user0062,6,1,K,M,C,C,99,60,false,false,96,122
